IDs,Country,CustomerID,InvoiceDate,InvoiceNo,Quantity,StockCodes,UnitPriceUSD
0,Burundi,3441,2013-09-19,3915,89,2195M,2020
1,Italy,6015,2010-11-10,5871,83,2636Y,4519
2,Nauru,268,2006-12-09,6468,72,1033W,438
3,Central African Republic,5720,2000-01-29,4359,12,1536K,1988
4,Montenegro,4624,2003-11-07,5842,90,1630U,3617
5,Uruguay,185,2016-02-01,1788,86,2871K,95
6,Pakistan,3946,2013-09-19,4005,35,2305Y,2039
7,Puerto Rico,113,2004-05-27,6584,88,2410P,873
8,Mauritania,4007,2019-11-17,5373,75,2318H,799
9,Zimbabwe,5916,2006-04-06,6343,41,2511Y,1360
10,Croatia,7136,2000-04-03,1230,64,2216H,1670
11,Kiribati,206,2000-11-06,3394,28,2262L,1225
12,South Georgia and the South Sandwich Islands,5633,2014-11-04,2296,18,1960E,2802
13,Gambia,3457,2018-11-15,4213,17,2698U,841
14,Wallis and Futuna,6779,2000-08-04,6487,91,1884H,2593
15,United States,3759,2007-07-02,1116,53,1757F,999
16,Tokelau,1612,2001-03-11,2504,58,2006D,312
17,Samoa,3747,2002-10-05,5709,95,2719Y,802
18,Montenegro,3389,2004-02-14,5790,12,1282R,3217
19,Nauru,4886,2010-07-11,6382,81,2142Z,2010
20,Antarctica,713,2019-05-16,2073,72,1006O,4477
21,Kiribati,6021,2008-11-22,6906,61,1068C,3176
22,Australia,1400,2018-07-25,4487,5,2422J,2001
23,Cuba,1619,2003-10-16,5551,94,1053O,2712
24,"Tanzania, United Republic of",6640,2018-05-12,1080,73,1234Q,2870
25,Brunei Darussalam,6854,2015-09-07,2347,93,2636B,3569
26,Lao People's Democratic Republic,7466,2001-03-21,2550,23,2996L,1020
27,Falkland Islands (Malvinas),6460,2000-03-27,4486,33,2579C,4156
28,Saint Martin (French part),5168,2014-11-02,6648,61,2879S,2330
29,Uzbekistan,2916,2020-06-30,6410,29,2796Z,4073
30,Mozambique,1716,2007-02-12,1684,79,2227D,2569
31,Jordan,5965,2001-04-08,1663,27,1205A,4082
32,Philippines,2874,2020-12-12,3157,60,1087T,591
33,Mexico,2184,2018-06-03,5384,8,1945N,3430
34,Uzbekistan,5685,2019-03-28,3984,67,2026I,4984
35,New Caledonia,4435,2021-10-08,1811,67,1282B,668
36,Netherlands,6890,2003-01-11,6750,43,2457D,2366
37,"Iran, Islamic Republic of",4045,2004-12-27,3581,80,1714E,2510
38,Belize,3769,2006-03-26,5841,71,2101K,4188
39,Guyana,5876,2008-10-04,4632,81,2670T,845
40,Benin,2487,2000-09-11,1965,19,1492I,3250
41,Montserrat,3137,2000-11-25,5890,36,2877W,2420
42,"Bonaire, Sint Eustatius and Saba",1380,2005-12-18,1285,42,2391E,1133
43,Burundi,3623,2003-11-16,3703,63,2280Z,2251
44,Iceland,6972,2000-02-12,1279,5,1822R,3357
45,Guinea,1298,2002-11-23,2167,94,1087Q,3099
46,Paraguay,2323,2002-04-09,4392,6,2565Y,1781
47,"Micronesia, Federated States of",2202,2019-12-07,2365,7,1490X,4444
48,Turkmenistan,1856,2013-06-03,5142,35,2834E,4690
49,Cuba,1244,2006-08-14,2073,89,2931B,1948
